customer_id,country,acquisition_channel,segment,registration_date
Client_001,United States,Paid,Freelancer,2024-07-21 14:05:47
Client_002,Costa Rica,Referral,Enterprise,2024-01-21 18:24:51
Client_003,Mexico,Organic,Freelancer,2024-09-24 17:10:01
Client_004,United States,Organic,Freelancer,2024-02-27 07:34:35
Client_005,United States,Organic,SMB,2024-02-15 02:56:46
Client_006,Costa Rica,Organic,SMB,2024-11-21 18:57:52
Client_007,Mexico,Direct,Freelancer,2024-12-13 13:03:37
Client_008,Mexico,Organic,SMB,2024-02-03 07:28:37
Client_009,United States,Direct,Enterprise,2024-09-03 01:13:53
Client_010,Panama,Direct,Enterprise,2024-05-26 15:33:00
Client_011,United States,Organic,SMB,2024-10-06 12:50:42
Client_012,United States,Organic,Enterprise,2024-04-30 17:40:45
Client_013,United States,Paid,SMB,2024-05-27 20:30:15
Client_014,United States,Referral,Freelancer,2024-03-02 04:51:53
Client_015,Costa Rica,Organic,Freelancer,2024-02-13 04:59:09
Client_016,Mexico,Paid,Enterprise,2024-05-12 19:53:49
Client_017,Costa Rica,Paid,SMB,2024-03-02 12:52:21
Client_018,Costa Rica,Referral,SMB,2024-02-02 11:06:42
Client_019,Costa Rica,Direct,Enterprise,2024-02-18 02:47:43
Client_020,United States,Organic,Freelancer,2024-02-21 22:43:18
Client_021,Panama,Referral,Enterprise,2024-11-05 22:39:09
Client_022,Mexico,Organic,Freelancer,2024-05-18 21:42:32
Client_023,Panama,Paid,SMB,2024-04-20 03:10:06
Client_024,Costa Rica,Paid,Freelancer,2024-08-13 19:37:56
Client_025,Costa Rica,Direct,Enterprise,2024-12-27 08:02:42
Client_026,Panama,Paid,SMB,2024-03-22 23:56:49
Client_027,Panama,Paid,Enterprise,2024-09-23 03:09:14
Client_028,Panama,Referral,Enterprise,2024-08-29 19:29:38
Client_029,Costa Rica,Organic,Freelancer,2024-04-26 19:19:45
Client_030,Costa Rica,Organic,Enterprise,2024-07-27 16:16:13
Client_031,Mexico,Referral,Freelancer,2024-12-07 00:32:19
Client_032,Mexico,Direct,SMB,2024-05-15 15:44:17
Client_033,Costa Rica,Organic,Freelancer,2024-01-18 06:04:47
Client_034,Panama,Paid,SMB,2024-05-31 06:43:21
Client_035,Panama,Organic,Freelancer,2024-04-17 18:36:08
Client_036,Mexico,Paid,Enterprise,2024-08-29 03:17:21
Client_037,Costa Rica,Direct,Freelancer,2024-05-18 18:54:52
Client_038,Mexico,Referral,Freelancer,2024-05-11 05:01:41
Client_039,Mexico,Organic,SMB,2024-03-02 00:41:04
Client_040,United States,Referral,Enterprise,2024-02-13 20:29:23
Client_041,United States,Organic,Freelancer,2024-08-27 00:42:06
Client_042,United States,Paid,Enterprise,2024-05-13 13:37:17
Client_043,Panama,Referral,Freelancer,2024-11-13 10:13:20
Client_044,Costa Rica,Organic,Freelancer,2024-08-21 03:54:21
Client_045,Costa Rica,Paid,Enterprise,2024-12-13 20:06:13
Client_046,Costa Rica,Referral,Freelancer,2024-03-01 00:29:33
Client_047,Costa Rica,Referral,Enterprise,2024-05-27 07:45:00
Client_048,United States,Organic,Freelancer,2024-09-07 02:45:07
Client_049,Panama,Organic,SMB,2024-05-07 13:26:26
Client_050,Panama,Organic,Enterprise,2024-01-12 05:03:36
Client_051,United States,Paid,Freelancer,2024-08-30 23:55:49
Client_052,Panama,Organic,Freelancer,2024-10-12 18:48:56
Client_053,United States,Referral,SMB,2024-04-21 13:39:24
Client_054,Costa Rica,Referral,Enterprise,2024-01-18 05:53:56
Client_055,United States,Organic,Freelancer,2024-08-15 09:29:05
Client_056,Costa Rica,Organic,SMB,2024-10-08 23:19:35
Client_057,Costa Rica,Direct,Freelancer,2024-03-24 02:12:36
Client_058,Mexico,Referral,Enterprise,2024-04-28 00:46:25
Client_059,United States,Paid,Freelancer,2024-10-30 14:35:47
Client_060,Mexico,Direct,Freelancer,2024-04-27 00:11:04
Client_061,United States,Organic,Freelancer,2024-10-24 16:58:54
Client_062,United States,Organic,Freelancer,2024-04-18 05:59:31
Client_063,Mexico,Referral,SMB,2024-04-01 11:40:28
Client_064,Mexico,Organic,SMB,2024-05-11 22:59:07
Client_065,United States,Paid,Enterprise,2024-06-12 08:30:03
Client_066,Panama,Referral,SMB,2024-08-30 19:38:07
Client_067,Costa Rica,Organic,SMB,2024-08-28 23:21:35
Client_068,Mexico,Referral,Enterprise,2024-05-19 16:54:55
Client_069,Costa Rica,Organic,SMB,2024-01-27 21:08:43
Client_070,Panama,Organic,SMB,2024-12-20 08:47:08
Client_071,Panama,Organic,Enterprise,2024-12-02 02:59:42
Client_072,Panama,Paid,Enterprise,2024-11-01 07:31:25
