payment_id,transaction_id,payment_date,method,amount_usd
PAY_00001,TX_01048,2024-03-18 21:09:07,PayPal,64
PAY_00002,TX_01943,2024-04-12 04:34:08,Credit Card,307
PAY_00003,TX_03131,2024-04-09 00:59:46,Bank Transfer,248
PAY_00004,TX_02797,2024-09-24 06:19:11,PayPal,216
PAY_00005,TX_00240,2024-11-08 11:48:35,Bank Transfer,231
PAY_00006,TX_02359,2024-11-23 01:53:40,PayPal,90
PAY_00007,TX_00672,2024-09-07 13:14:13,Credit Card,254
PAY_00008,TX_02620,2024-04-30 18:20:32,Bank Transfer,298
PAY_00009,TX_02462,2024-05-19 07:29:13,Bank Transfer,468
PAY_00010,TX_03394,2024-03-17 18:16:10,PayPal,186
PAY_00011,TX_00402,2024-09-05 20:08:12,Bank Transfer,214
PAY_00012,TX_02107,2024-01-26 10:03:08,Credit Card,192
PAY_00013,TX_04149,2024-11-11 08:24:09,Bank Transfer,214
PAY_00014,TX_01088,2024-02-08 21:25:01,Bank Transfer,82
PAY_00015,TX_01143,2024-11-17 23:31:07,Bank Transfer,89
PAY_00016,TX_04382,2024-07-20 23:57:19,Bank Transfer,242
PAY_00017,TX_02066,2024-04-10 08:36:28,PayPal,329
PAY_00018,TX_03909,2024-12-04 15:51:58,PayPal,302
PAY_00019,TX_04256,2024-01-24 08:27:39,Bank Transfer,368
PAY_00020,TX_03960,2024-12-16 02:22:43,Bank Transfer,98
PAY_00021,TX_00142,2024-07-07 22:20:45,Credit Card,55
PAY_00022,TX_00397,2024-03-12 23:58:40,PayPal,408
PAY_00023,TX_02628,2024-12-28 11:12:17,PayPal,214
PAY_00024,TX_04630,2024-12-02 09:20:10,PayPal,454
PAY_00025,TX_01556,2024-10-11 22:08:41,Bank Transfer,236
PAY_00026,TX_02509,2024-12-06 00:43:32,PayPal,307
PAY_00027,TX_04382,2024-07-21 20:39:45,Credit Card,168
PAY_00028,TX_01029,2024-09-23 09:21:44,Credit Card,292
PAY_00029,TX_02177,2024-07-11 09:37:40,Credit Card,220
PAY_00030,TX_00671,2024-09-02 21:55:44,Credit Card,173
PAY_00031,TX_04595,2024-05-28 15:44:36,Credit Card,41
PAY_00032,TX_01856,2024-08-30 18:11:14,PayPal,316
PAY_00033,TX_03430,2024-06-06 05:16:48,Bank Transfer,334
PAY_00034,TX_02079,2024-08-28 06:33:54,Bank Transfer,234
PAY_00035,TX_02007,2024-12-06 07:38:34,Bank Transfer,350
PAY_00036,TX_01689,2024-05-13 20:41:41,Bank Transfer,141
