subscription_id,customer_id,plan,start_date,end_date,status,monthly_price_usd
Sub_0001,Client_603,Basic,2024-06-14 01:23:15,2024-01-31 22:32:51,Active,100
Sub_0002,Client_354,Standard,2024-08-24 17:11:05,2024-12-15 21:34:31,Active,50
Sub_0003,Client_888,Basic,2024-03-17 16:48:44,2024-09-06 10:51:04,Active,30
Sub_0004,Client_558,Standard,2024-03-10 23:10:01,2024-02-13 18:18:58,Cancelled,50
Sub_0005,Client_550,Standard,2024-09-19 04:49:00,2024-02-26 00:51:16,Active,50
Sub_0006,Client_142,Standard,2024-10-23 19:56:14,2024-09-13 02:49:50,Cancelled,100
Sub_0007,Client_612,Standard,2024-01-06 17:50:32,2024-07-21 16:53:19,Paused,100
Sub_0008,Client_501,Standard,2024-08-24 05:49:59,2024-07-10 14:46:31,Cancelled,50
Sub_0009,Client_840,Basic,2024-10-09 04:04:18,2024-05-23 21:34:10,Active,100
Sub_0010,Client_702,Standard,2024-04-26 14:47:11,2024-03-11 02:11:34,Active,100
Sub_0011,Client_547,Basic,2024-08-12 14:36:29,2024-02-09 01:34:18,Active,100
Sub_0012,Client_659,Standard,2024-04-30 18:42:07,2024-09-03 03:16:55,Paused,200
Sub_0013,Client_542,Premium,2024-08-27 11:11:25,2024-03-04 00:28:09,Active,100
Sub_0014,Client_846,Standard,2024-02-16 04:50:18,2024-11-04 15:17:46,Active,200
Sub_0015,Client_507,Premium,2024-04-04 12:02:42,2024-05-22 20:06:21,Active,200
Sub_0016,Client_596,Standard,2024-08-25 22:04:20,2024-04-25 07:44:18,Active,100
Sub_0017,Client_881,Standard,2024-09-21 02:25:00,2024-05-28 19:48:15,Active,50
Sub_0018,Client_281,Standard,2024-02-28 16:22:01,2024-09-01 13:33:37,Active,100
Sub_0019,Client_424,Premium,2024-01-03 21:30:31,2024-02-27 01:13:00,Active,30
Sub_0020,Client_856,Premium,2024-04-19 09:02:04,2024-03-11 08:17:42,Cancelled,50
Sub_0021,Client_270,Standard,2024-05-30 00:51:23,2024-08-28 09:22:03,Active,200
Sub_0022,Client_154,Basic,2024-09-05 23:45:40,2024-09-30 04:44:16,Active,200
Sub_0023,Client_614,Standard,2024-08-21 05:02:01,2024-10-15 04:19:30,Active,50
Sub_0024,Client_727,Premium,2024-09-29 04:58:35,2024-06-27 01:20:36,Active,50
Sub_0025,Client_662,Standard,2024-01-12 07:55:35,2024-11-07 04:42:58,Cancelled,100
Sub_0026,Client_944,Premium,2024-03-01 23:12:08,2024-07-26 04:53:52,Active,200
Sub_0027,Client_083,Premium,2024-04-19 00:24:19,2024-12-16 22:51:26,Active,30
Sub_0028,Client_622,Premium,2024-08-06 20:02:14,2024-11-09 00:40:47,Active,100
Sub_0029,Client_947,Standard,2024-01-05 20:56:33,2024-03-02 21:56:38,Paused,50
Sub_0030,Client_899,Premium,2024-02-09 08:51:01,2024-02-04 11:59:02,Active,200
Sub_0031,Client_426,Premium,2024-08-08 08:20:07,2024-06-02 23:09:13,Cancelled,50
Sub_0032,Client_275,Standard,2024-04-09 22:35:39,2024-11-24 17:05:35,Active,50
Sub_0033,Client_713,Premium,2024-06-07 06:21:26,2024-02-07 20:02:15,Active,50
Sub_0034,Client_284,Standard,2024-09-04 10:28:54,2024-05-26 14:15:32,Active,100
Sub_0035,Client_980,Premium,2024-10-05 08:59:00,2024-06-12 05:45:13,Cancelled,30
Sub_0036,Client_173,Basic,2024-08-29 09:53:26,2024-06-29 15:29:31,Active,30
Sub_0037,Client_327,Basic,2024-06-04 10:40:28,2024-04-30 04:53:24,Paused,200
Sub_0038,Client_718,Premium,2024-02-01 20:38:10,2024-02-04 15:24:32,Active,50
Sub_0039,Client_063,Basic,2024-06-21 18:41:08,2024-04-17 19:27:21,Active,30
Sub_0040,Client_073,Standard,2024-01-12 14:45:10,2024-08-10 23:55:48,Active,50
Sub_0041,Client_763,Basic,2024-05-25 20:00:30,2024-02-24 06:07:17,Cancelled,200
Sub_0042,Client_636,Premium,2024-07-25 13:53:28,2024-09-13 10:51:58,Active,50
Sub_0043,Client_375,Premium,2024-06-20 10:25:34,2024-11-10 23:00:43,Cancelled,30
Sub_0044,Client_633,Standard,2024-08-21 17:04:49,2024-10-15 18:44:48,Paused,50
Sub_0045,Client_508,Premium,2024-01-22 12:46:11,2024-05-18 03:43:38,Paused,30
