transaction_id,customer_id,product_id,date,country,quantity,unit_price_usd,total_usd
TX_00001,Client_246,Product_049,2024-02-11 23:56:37,Panama,1,75,75
TX_00002,Client_568,Product_008,2024-02-18 19:24:07,Costa Rica,2,100,200
TX_00003,Client_038,Product_008,2024-10-28 00:43:15,Mexico,2,75,150
TX_00004,Client_245,Product_019,2024-05-20 22:48:36,Mexico,2,10,20
TX_00005,Client_021,Product_032,2024-01-12 12:03:50,Costa Rica,1,50,50
TX_00006,Client_110,Product_031,2024-04-19 00:35:17,Panama,2,75,150
TX_00007,Client_606,Product_029,2024-05-11 14:25:48,Mexico,2,100,200
TX_00008,Client_394,Product_041,2024-10-01 13:47:15,Costa Rica,4,75,300
TX_00009,Client_410,Product_011,2024-07-27 18:33:16,United States,4,25,100
TX_00010,Client_987,Product_045,2024-06-19 06:13:23,Panama,1,10,10
TX_00011,Client_648,Product_013,2024-04-19 14:55:05,Panama,4,50,200
TX_00012,Client_743,Product_027,2024-10-23 07:40:35,Panama,1,25,25
TX_00013,Client_008,Product_019,2024-12-17 00:54:24,United States,3,100,300
TX_00014,Client_444,Product_026,2024-07-05 09:35:16,Mexico,2,75,150
TX_00015,Client_328,Product_037,2024-05-12 13:24:55,Panama,1,10,10
TX_00016,Client_887,Product_048,2024-03-02 03:52:06,Costa Rica,4,75,300
TX_00017,Client_290,Product_009,2024-10-09 00:30:28,Panama,3,75,225
TX_00018,Client_763,Product_028,2024-03-03 03:30:10,Costa Rica,4,75,300
TX_00019,Client_511,Product_032,2024-05-30 17:10:06,Panama,1,75,75
TX_00020,Client_912,Product_003,2024-12-30 00:15:26,Costa Rica,3,10,30
TX_00021,Client_361,Product_032,2024-06-05 11:51:54,Costa Rica,4,25,100
TX_00022,Client_909,Product_005,2024-06-27 17:03:12,Costa Rica,3,100,300
TX_00023,Client_599,Product_008,2024-06-12 06:02:36,United States,2,25,50
TX_00024,Client_716,Product_014,2024-11-27 19:53:58,United States,2,10,20
TX_00025,Client_219,Product_003,2024-07-14 03:30:20,United States,3,100,300
TX_00026,Client_406,Product_024,2024-04-22 19:34:06,Mexico,4,50,200
TX_00027,Client_992,Product_013,2024-03-02 19:12:26,Costa Rica,4,25,100
TX_00028,Client_753,Product_043,2024-09-05 14:41:54,Mexico,4,10,40
